0 9.560699999999999 -9.83285 brown
1 8.9274 -6.045275 brown
2 7.31085 -9.86815 brown
3 8.34535 -4.2062 turquoise
4 5.49975 -4.2383500000000005 turquoise
5 -4.0207999999999995 -3.3131000000000004 turquoise
6 -5.8927499999999995 -4.338225 turquoise
7 -11.612775000000001 -3.346275 pink
8 -11.657924999999999 -9.042925 red
9 -9.129125 -6.260274999999999 orange
10 -4.690075 -6.176075 yellow
11 0.5738749999999999 -8.03105 green
12 2.4984 -9.957825 green
13 2.480675 -1.41825 green
14 -7.135149999999999 0.7379749999999999 orange
15 -1.03815 -1.36665 yellow
16 -0.010774999999999996 1.540575 yellow
17 -9.49795 -0.12415 red
18 5.5214 -1.2857750000000001 brown
